Algorithm,Instance,Run,Time.s,Accuracy
Standard,Inst1,1,192.2,0.914
Standard,Inst1,2,194.5,0.916
Standard,Inst1,3,189.6,0.91
Standard,Inst1,4,194,0.939
Standard,Inst1,5,190.1,0.922
Standard,Inst1,6,198.4,0.947
Standard,Inst1,7,176,0.925
Standard,Inst1,8,186.7,0.908
Standard,Inst1,9,178,0.911
Standard,Inst1,10,171.8,0.911
Standard,Inst1,11,195.9,0.897
Standard,Inst1,12,195.2,0.919
Standard,Inst1,13,193.1,0.884
Standard,Inst1,14,198.2,0.916
Standard,Inst1,15,224.1,0.933
Standard,Inst1,16,187.5,0.889
Standard,Inst1,17,179.4,0.886
Standard,Inst1,18,189.7,0.936
Standard,Inst1,19,191.2,0.908
Standard,Inst1,20,211.5,0.915
Standard,Inst1,21,190.7,0.927
Standard,Inst1,22,235.7,0.922
Standard,Inst1,23,192,0.888
Standard,Inst1,24,217.2,0.919
Standard,Inst1,25,196.4,0.914
Standard,Inst1,26,173.4,0.926
Standard,Inst1,27,217.2,0.891
Standard,Inst1,28,188.2,0.9
Standard,Inst1,29,171,0.948
Standard,Inst1,30,217.9,0.891
Standard,Inst2,1,183.1,0.948
Standard,Inst2,2,143.8,0.922
Standard,Inst2,3,153.3,0.914
Standard,Inst2,4,139.6,0.924
Standard,Inst2,5,162.3,0.919
Standard,Inst2,6,167.6,0.927
Standard,Inst2,7,155.2,0.919
Standard,Inst2,8,157.2,0.932
Standard,Inst2,9,192.9,0.901
Standard,Inst2,10,154.5,0.91
Standard,Inst2,11,129.5,0.933
Standard,Inst2,12,148.8,0.927
Standard,Inst2,13,162.1,0.894
Standard,Inst2,14,191.4,0.959
Standard,Inst2,15,151.9,0.904
Standard,Inst2,16,153.2,0.908
Standard,Inst2,17,145.2,0.902
Standard,Inst2,18,185.2,0.923
Standard,Inst2,19,166.7,0.941
Standard,Inst2,20,142.3,0.89
Standard,Inst2,21,213.1,0.934
Standard,Inst2,22,171.7,0.897
Standard,Inst2,23,162.4,0.935
Standard,Inst2,24,124.9,0.894
Standard,Inst2,25,161.3,0.905
Standard,Inst2,26,148.2,0.919
Standard,Inst2,27,170,0.902
Standard,Inst2,28,144.8,0.938
Standard,Inst2,29,192.4,0.932
Standard,Inst2,30,177.5,0.884
Standard,Inst3,1,169.1,0.873
Standard,Inst3,2,175.9,0.876
Standard,Inst3,3,170.9,0.877
Standard,Inst3,4,187.9,0.843
Standard,Inst3,5,167.6,0.916
Standard,Inst3,6,181.2,0.904
Standard,Inst3,7,159.3,0.885
Standard,Inst3,8,178.2,0.86
Standard,Inst3,9,182.7,0.868
Standard,Inst3,10,177.8,0.888
Standard,Inst3,11,155.4,0.9
Standard,Inst3,12,178.9,0.882
Standard,Inst3,13,151.9,0.875
Standard,Inst3,14,141.8,0.857
Standard,Inst3,15,162.5,0.866
Standard,Inst3,16,193.8,0.866
Standard,Inst3,17,163.3,0.826
Standard,Inst3,18,160.4,0.881
Standard,Inst3,19,170.2,0.847
Standard,Inst3,20,206,0.904
Standard,Inst3,21,143,0.873
Standard,Inst3,22,195.5,0.865
Standard,Inst3,23,200.4,0.885
Standard,Inst3,24,181.5,0.902
Standard,Inst3,25,226.4,0.883
Standard,Inst3,26,190.6,0.923
Standard,Inst3,27,201.5,0.895
Standard,Inst3,28,176,0.865
Standard,Inst3,29,198.5,0.913
Standard,Inst3,30,162.9,0.875
Standard,Inst4,1,182.6,0.946
Standard,Inst4,2,179.9,0.953
Standard,Inst4,3,195.7,0.916
Standard,Inst4,4,220.7,0.926
Standard,Inst4,5,231.1,0.924
Standard,Inst4,6,202.2,0.912
Standard,Inst4,7,148.4,0.923
Standard,Inst4,8,192,0.887
Standard,Inst4,9,210.6,0.898
Standard,Inst4,10,207.4,0.926
Standard,Inst4,11,178.3,0.918
Standard,Inst4,12,193.6,0.947
Standard,Inst4,13,180.4,0.93
Standard,Inst4,14,159.7,0.903
Standard,Inst4,15,149,0.92
Standard,Inst4,16,212.9,0.923
Standard,Inst4,17,174.3,0.871
Standard,Inst4,18,197.6,0.909
Standard,Inst4,19,169.4,0.953
Standard,Inst4,20,179.7,0.93
Standard,Inst4,21,192.7,0.92
Standard,Inst4,22,148.7,0.889
Standard,Inst4,23,137.8,0.936
Standard,Inst4,24,125.2,0.876
Standard,Inst4,25,191.3,0.931
Standard,Inst4,26,169.5,0.915
Standard,Inst4,27,185.3,0.92
Standard,Inst4,28,184.3,0.901
Standard,Inst4,29,199.9,0.955
Standard,Inst4,30,169.9,0.934
Standard,Inst5,1,145.3,0.879
Standard,Inst5,2,157.1,0.874
Standard,Inst5,3,153.9,0.896
Standard,Inst5,4,163.5,0.85
Standard,Inst5,5,111.2,0.859
Standard,Inst5,6,164.9,0.877
Standard,Inst5,7,177.9,0.867
Standard,Inst5,8,97.33,0.842
Standard,Inst5,9,157.6,0.906
Standard,Inst5,10,126.1,0.858
Standard,Inst5,11,200.8,0.908
Standard,Inst5,12,154.8,0.867
Standard,Inst5,13,141,0.881
Standard,Inst5,14,166.4,0.858
Standard,Inst5,15,158.5,0.888
Standard,Inst5,16,170.7,0.875
Standard,Inst5,17,135.4,0.898
Standard,Inst5,18,147.4,0.853
Standard,Inst5,19,126.2,0.84
Standard,Inst5,20,144.7,0.874
Standard,Inst5,21,203.2,0.864
Standard,Inst5,22,176.7,0.868
Standard,Inst5,23,148.6,0.865
Standard,Inst5,24,136.8,0.877
Standard,Inst5,25,132.6,0.888
Standard,Inst5,26,166.9,0.882
Standard,Inst5,27,124.6,0.896
Standard,Inst5,28,155.9,0.849
Standard,Inst5,29,128.1,0.867
Standard,Inst5,30,124,0.896
Standard,Inst6,1,179.9,0.913
Standard,Inst6,2,212.8,0.914
Standard,Inst6,3,221.7,0.891
Standard,Inst6,4,193.2,0.9
Standard,Inst6,5,216,0.915
Standard,Inst6,6,209.3,0.906
Standard,Inst6,7,208.7,0.888
Standard,Inst6,8,206.5,0.898
Standard,Inst6,9,215.1,0.898
Standard,Inst6,10,193,0.883
Standard,Inst6,11,172.4,0.884
Standard,Inst6,12,207.6,0.873
Standard,Inst6,13,215.1,0.927
Standard,Inst6,14,196.7,0.9
Standard,Inst6,15,204.2,0.903
Standard,Inst6,16,173.3,0.869
Standard,Inst6,17,183,0.913
Standard,Inst6,18,166.7,0.884
Standard,Inst6,19,227.6,0.888
Standard,Inst6,20,203.2,0.907
Standard,Inst6,21,222.4,0.889
Standard,Inst6,22,197.8,0.925
Standard,Inst6,23,211.1,0.886
Standard,Inst6,24,205.7,0.907
Standard,Inst6,25,226.2,0.884
Standard,Inst6,26,212,0.937
Standard,Inst6,27,181,0.91
Standard,Inst6,28,187.5,0.924
Standard,Inst6,29,230.1,0.913
Standard,Inst6,30,248.4,0.872
Standard,Inst7,1,176.2,0.888
Standard,Inst7,2,189.3,0.843
Standard,Inst7,3,202,0.854
Standard,Inst7,4,147,0.904
Standard,Inst7,5,172,0.872
Standard,Inst7,6,169.8,0.833
Standard,Inst7,7,180.1,0.907
Standard,Inst7,8,180.5,0.904
Standard,Inst7,9,176.5,0.858
Standard,Inst7,10,176.6,0.869
Standard,Inst7,11,174.3,0.878
Standard,Inst7,12,217.5,0.899
Standard,Inst7,13,212.6,0.893
Standard,Inst7,14,193.2,0.875
Standard,Inst7,15,211.6,0.862
Standard,Inst7,16,192.1,0.847
Standard,Inst7,17,187.3,0.867
Standard,Inst7,18,159.6,0.881
Standard,Inst7,19,145.8,0.86
Standard,Inst7,20,221.8,0.888
Standard,Inst7,21,160.2,0.869
Standard,Inst7,22,177.1,0.864
Standard,Inst7,23,184.6,0.851
Standard,Inst7,24,188.9,0.878
Standard,Inst7,25,160.6,0.858
Standard,Inst7,26,179.6,0.86
Standard,Inst7,27,206.3,0.864
Standard,Inst7,28,201.6,0.874
Standard,Inst7,29,192.6,0.851
Standard,Inst7,30,187.2,0.871
Standard,Inst8,1,159.8,0.946
Standard,Inst8,2,196.3,0.878
Standard,Inst8,3,157.4,0.92
Standard,Inst8,4,175.7,0.931
Standard,Inst8,5,164,0.915
Standard,Inst8,6,202.9,0.924
Standard,Inst8,7,187.3,0.885
Standard,Inst8,8,163.9,0.908
Standard,Inst8,9,165.8,0.935
Standard,Inst8,10,171.6,0.911
Standard,Inst8,11,196.1,0.931
Standard,Inst8,12,189.7,0.923
Standard,Inst8,13,163,0.928
Standard,Inst8,14,152,0.931
Standard,Inst8,15,178,0.93
Standard,Inst8,16,145.4,0.931
Standard,Inst8,17,177.8,0.887
Standard,Inst8,18,150.8,0.882
Standard,Inst8,19,169.8,0.892
Standard,Inst8,20,155.2,0.935
Standard,Inst8,21,142.2,0.915
Standard,Inst8,22,149.9,0.946
Standard,Inst8,23,155.7,0.922
Standard,Inst8,24,194,0.883
Standard,Inst8,25,179.4,0.924
Standard,Inst8,26,130.3,0.89
Standard,Inst8,27,169.1,0.928
Standard,Inst8,28,186.5,0.937
Standard,Inst8,29,189.4,0.885
Standard,Inst8,30,184.8,0.937
Standard,Inst9,1,208.1,0.932
Standard,Inst9,2,195.8,0.972
Standard,Inst9,3,186.8,0.92
Standard,Inst9,4,179.9,0.875
Standard,Inst9,5,199.2,0.909
Standard,Inst9,6,203.2,0.897
Standard,Inst9,7,220.3,0.93
Standard,Inst9,8,211.5,0.932
Standard,Inst9,9,173.2,0.953
Standard,Inst9,10,186.7,0.911
Standard,Inst9,11,202.7,0.919
Standard,Inst9,12,205.3,0.917
Standard,Inst9,13,191.4,0.899
Standard,Inst9,14,214.7,0.921
Standard,Inst9,15,172.9,0.932
Standard,Inst9,16,188,0.895
Standard,Inst9,17,206.9,0.931
Standard,Inst9,18,200.3,0.963
Standard,Inst9,19,232,0.919
Standard,Inst9,20,229.7,0.965
Standard,Inst9,21,205.8,0.901
Standard,Inst9,22,210.9,0.913
Standard,Inst9,23,199.2,0.902
Standard,Inst9,24,198.9,0.97
Standard,Inst9,25,159.4,0.936
Standard,Inst9,26,199.1,0.95
Standard,Inst9,27,182.1,0.888
Standard,Inst9,28,177.4,0.939
Standard,Inst9,29,208,0.916
Standard,Inst9,30,207.7,0.902
Standard,Inst10,1,146,0.891
Standard,Inst10,2,174.2,0.882
Standard,Inst10,3,151.8,0.881
Standard,Inst10,4,180,0.909
Standard,Inst10,5,163.2,0.923
Standard,Inst10,6,176.4,0.925
Standard,Inst10,7,176.4,0.923
Standard,Inst10,8,188.4,0.876
Standard,Inst10,9,178.3,0.872
Standard,Inst10,10,142.8,0.889
Standard,Inst10,11,194.5,0.885
Standard,Inst10,12,167.8,0.901
Standard,Inst10,13,185.7,0.911
Standard,Inst10,14,177,0.872
Standard,Inst10,15,173.9,0.894
Standard,Inst10,16,162.5,0.898
Standard,Inst10,17,167.3,0.853
Standard,Inst10,18,183,0.916
Standard,Inst10,19,164.1,0.876
Standard,Inst10,20,186.5,0.895
Standard,Inst10,21,165.1,0.889
Standard,Inst10,22,155.2,0.903
Standard,Inst10,23,168.3,0.884
Standard,Inst10,24,183.5,0.881
Standard,Inst10,25,176.3,0.924
Standard,Inst10,26,170.5,0.885
Standard,Inst10,27,196.6,0.909
Standard,Inst10,28,194.1,0.887
Standard,Inst10,29,198,0.885
Standard,Inst10,30,161.9,0.9
Standard,Inst11,1,193.8,0.901
Standard,Inst11,2,183.1,0.921
Standard,Inst11,3,188.9,0.961
Standard,Inst11,4,166.3,0.913
Standard,Inst11,5,184.1,0.945
Standard,Inst11,6,160.8,0.896
Standard,Inst11,7,183.5,0.913
Standard,Inst11,8,155,0.919
Standard,Inst11,9,156.7,0.927
Standard,Inst11,10,168.3,0.922
Standard,Inst11,11,155.7,0.95
Standard,Inst11,12,193.7,0.951
Standard,Inst11,13,199.2,0.947
Standard,Inst11,14,196.1,0.913
Standard,Inst11,15,176,0.92
Standard,Inst11,16,161.9,0.945
Standard,Inst11,17,195.1,0.921
Standard,Inst11,18,195.1,0.91
Standard,Inst11,19,154.5,0.943
Standard,Inst11,20,175.4,0.909
Standard,Inst11,21,183.1,0.912
Standard,Inst11,22,198,0.901
Standard,Inst11,23,169.8,0.876
Standard,Inst11,24,193.2,0.932
Standard,Inst11,25,157.9,0.91
Standard,Inst11,26,172.8,0.924
Standard,Inst11,27,162.2,0.948
Standard,Inst11,28,193.1,0.922
Standard,Inst11,29,167.6,0.938
Standard,Inst11,30,160.3,0.928
Standard,Inst12,1,198.4,0.895
Standard,Inst12,2,188.8,0.896
Standard,Inst12,3,169.3,0.892
Standard,Inst12,4,168.5,0.867
Standard,Inst12,5,131,0.895
Standard,Inst12,6,186.4,0.91
Standard,Inst12,7,207.9,0.881
Standard,Inst12,8,175,0.9
Standard,Inst12,9,146.3,0.88
Standard,Inst12,10,141.5,0.867
Standard,Inst12,11,182,0.871
Standard,Inst12,12,188.1,0.867
Standard,Inst12,13,163,0.841
Standard,Inst12,14,201.9,0.877
Standard,Inst12,15,197.1,0.889
Standard,Inst12,16,134.8,0.892
Standard,Inst12,17,167.4,0.898
Standard,Inst12,18,205.1,0.848
Standard,Inst12,19,152.9,0.901
Standard,Inst12,20,158.5,0.925
Standard,Inst12,21,165.4,0.864
Standard,Inst12,22,155.9,0.903
