Riser,LogTTF
Riser1,8.98421
Riser1,9.67838
Riser1,8.5801
Riser1,9.30338
Riser1,9.00614
Riser1,8.52335
Riser1,9.63827
Riser1,8.52599
Riser1,8.57555
Riser1,8.45201
Riser1,8.29818
Riser1,8.65656
Riser1,8.66395
Riser1,8.89763
Riser1,9.32063
Riser1,9.47228
Riser1,9.34721
Riser1,8.84467
Riser1,8.907
Riser1,8.64913
Riser2,8.99666
Riser2,9.64729
Riser2,8.61643
Riser2,8.8813
Riser2,8.72959
Riser2,8.32434
Riser2,9.67873
Riser2,8.78758
Riser2,8.6193
Riser2,9.09787
Riser2,9.08751
Riser2,9.01223
Riser2,8.96658
Riser2,9.02102
Riser2,8.63688
Riser2,9.96033
Riser2,8.68918
Riser2,8.94693
Riser2,9.89138
Riser2,8.53769
Riser3,8.67105
Riser3,8.68186
Riser3,8.81337
Riser3,9.8075
Riser3,10.22922
Riser3,8.7778
Riser3,8.61989
Riser3,8.62967
Riser3,7.52452
Riser3,9.36207
Riser3,7.88145
Riser3,8.90674
Riser3,8.74064
Riser3,8.81797
Riser3,8.9093
Riser3,8.72225
Riser3,8.94435
Riser3,9.51079
Riser3,8.42504
Riser3,8.91353
Riser4,9.12441
Riser4,8.44595
Riser4,8.54299
Riser4,8.31205
Riser4,9.30353
Riser4,8.85424
Riser4,8.51385
Riser4,9.61209
Riser4,8.55562
Riser4,9.25573
Riser4,8.00541
Riser4,9.01451
Riser4,8.68542
Riser4,9.85778
Riser4,8.90683
Riser4,8.326
Riser4,8.93812
Riser4,8.53178
Riser4,8.87164
Riser4,9.02603
