TripInstance,Run,tripSize,avgTranspoprtations,avgAccommodations,destinations,algorithm,quality,time
1,1,2,1,1,2,ACO,0.068627437,0.3891575
2,1,2,1,1,2,ACO_Local,0.068627437,0.5078378
3,2,2,1,1,2,ACO,0.137254874,0.769965
4,2,2,1,1,2,ACO_Local,0.137254874,1.0326557
5,3,2,1,1,2,ACO,0.205882311,1.1467617
6,3,2,1,1,2,ACO_Local,0.205882311,1.5568347
7,4,2,1,1,2,ACO,0.274509748,1.5426347
8,4,2,1,1,2,ACO_Local,0.274509748,2.0775845
9,5,2,1,1,2,ACO,0.343137185,1.9429158
10,5,2,1,1,2,ACO_Local,0.343137185,2.666228
11,6,2,1,1,2,ACO,0.411764622,2.3389915
12,6,2,1,1,2,ACO_Local,0.411764622,3.1391722
13,7,2,1,1,2,ACO,0.480392059,2.7010823
14,7,2,1,1,2,ACO_Local,0.480392059,3.5919111
15,8,2,1,1,2,ACO,0.549019496,3.0302047
16,8,2,1,1,2,ACO_Local,0.549019496,4.0641839
17,1,8,1,2,2,ACO,0.091420166,0.3959115
18,1,8,1,2,2,ACO_Local,0.091420166,0.5207639
19,2,8,1,2,2,ACO,0.182840331,0.7726941
20,2,8,1,2,2,ACO_Local,0.182840331,1.0127027
21,3,8,1,2,2,ACO,0.274260497,1.1761119
22,3,8,1,2,2,ACO_Local,0.274260497,1.5142026
23,4,8,1,2,2,ACO,0.365680663,1.5638295
24,4,8,1,2,2,ACO_Local,0.365680663,2.0432545
25,5,8,1,2,2,ACO,0.457100829,1.9239143
26,5,8,1,2,2,ACO_Local,0.457100829,2.5372075
27,6,8,1,2,2,ACO,0.548520994,2.2909289
28,6,8,1,2,2,ACO_Local,0.548520994,3.0408019
29,7,8,1,2,2,ACO,0.63994116,2.6683812
30,7,8,1,2,2,ACO_Local,0.63994116,3.5499359
31,8,8,1,2,2,ACO,0.731361326,3.0346825
32,8,8,1,2,2,ACO_Local,0.731361326,4.0283692
33,1,18,1,3,2,ACO,0.130668377,0.3923134
34,1,18,1,3,2,ACO_Local,0.130668377,0.5568331
35,2,18,1,3,2,ACO,0.261336755,0.7861098
36,2,18,1,3,2,ACO_Local,0.261336755,1.0892945
37,3,18,1,3,2,ACO,0.392005132,1.1816514
38,3,18,1,3,2,ACO_Local,0.392005132,1.625325
39,4,18,1,3,2,ACO,0.52267351,1.579353
40,4,18,1,3,2,ACO_Local,0.52267351,2.1567956
41,5,18,1,3,2,ACO,0.653341887,1.9698609
42,5,18,1,3,2,ACO_Local,0.653341887,2.7028665
43,6,18,1,3,2,ACO,0.784010264,2.359517
44,6,18,1,3,2,ACO_Local,0.784010264,3.2445182
45,7,18,1,3,2,ACO,0.914678642,2.7499903
46,7,18,1,3,2,ACO_Local,0.914678642,3.7691638
47,8,18,1,3,2,ACO,1.045347019,3.138195
48,8,18,1,3,2,ACO_Local,1.045347019,4.307019
49,1,32,1,4,2,ACO,0.158338942,0.4446207
50,1,32,1,4,2,ACO_Local,0.158338942,0.592145
51,2,32,1,4,2,ACO,0.316677884,0.8581204
52,2,32,1,4,2,ACO_Local,0.316677884,1.1655536
53,3,32,1,4,2,ACO,0.475016827,1.2862605
54,3,32,1,4,2,ACO_Local,0.475016827,1.7682962
55,4,32,1,4,2,ACO,0.633355769,1.7121581
56,4,32,1,4,2,ACO_Local,0.633355769,2.3881036
57,5,32,1,4,2,ACO,0.791694711,2.1320441
58,5,32,1,4,2,ACO_Local,0.791694711,2.9864681
59,6,32,1,4,2,ACO,0.950033653,2.5723102
60,6,32,1,4,2,ACO_Local,0.950033653,3.5596728
61,7,32,1,4,2,ACO,1.108372596,3.0053211
62,7,32,1,4,2,ACO_Local,1.108372596,4.1347595
63,8,32,1,4,2,ACO,1.266711538,3.417537
64,8,32,1,4,2,ACO_Local,1.266711538,4.7149432
65,1,50,1,5,2,ACO,0.181813117,0.4978192
66,1,50,1,5,2,ACO_Local,0.181813117,0.6845413
67,2,50,1,5,2,ACO,0.363626234,1.0472744
68,2,50,1,5,2,ACO_Local,0.363626234,1.3907144
69,3,50,1,5,2,ACO,0.545439351,1.544604
70,3,50,1,5,2,ACO_Local,0.545439351,2.1277678
71,4,50,1,5,2,ACO,0.727252468,2.0754366
72,4,50,1,5,2,ACO_Local,0.727252468,2.8031534
73,5,50,1,5,2,ACO,0.909065584,2.6113349
74,5,50,1,5,2,ACO_Local,0.909065584,3.4712941
75,6,50,1,5,2,ACO,1.090878701,3.0827041
76,6,50,1,5,2,ACO_Local,1.090878701,4.122722
77,7,50,1,5,2,ACO,1.272691818,3.5617771
78,7,50,1,5,2,ACO_Local,1.272691818,4.7888673
79,8,50,1,5,2,ACO,1.454504935,4.0446805
80,8,50,1,5,2,ACO_Local,1.454504935,5.4227459
81,1,72,1,6,2,ACO,0.266586484,0.5404163
