instance,run,size,avgTransportations,avgAccommodations,destinations,algorithm,quality,time
1,1,2,1,1,2,ACO,0.068627437,0.3891575
1,1,2,1,1,2,ACO_Local,0.068627437,0.5078378
1,2,2,1,1,2,ACO,0.068627437,0.3808075
1,2,2,1,1,2,ACO_Local,0.068627437,0.5248179
1,3,2,1,1,2,ACO,0.068627437,0.3767967
1,3,2,1,1,2,ACO_Local,0.068627437,0.524179
1,4,2,1,1,2,ACO,0.068627437,0.395873
1,4,2,1,1,2,ACO_Local,0.068627437,0.5207498
1,5,2,1,1,2,ACO,0.068627437,0.4002811
1,5,2,1,1,2,ACO_Local,0.068627437,0.5886435
1,6,2,1,1,2,ACO,0.068627437,0.3960757
1,6,2,1,1,2,ACO_Local,0.068627437,0.4729442
1,7,2,1,1,2,ACO,0.068627437,0.3620908
1,7,2,1,1,2,ACO_Local,0.068627437,0.4527389
1,8,2,1,1,2,ACO,0.068627437,0.3291224
1,8,2,1,1,2,ACO_Local,0.068627437,0.4722728
2,1,8,1,2,2,ACO,0.091420166,0.3959115
2,1,8,1,2,2,ACO_Local,0.091420166,0.5207639
2,2,8,1,2,2,ACO,0.091420165,0.3767826
2,2,8,1,2,2,ACO_Local,0.091420165,0.4919388
2,3,8,1,2,2,ACO,0.091420166,0.4034178
2,3,8,1,2,2,ACO_Local,0.091420166,0.5014999
2,4,8,1,2,2,ACO,0.091420166,0.3877176
2,4,8,1,2,2,ACO_Local,0.091420166,0.5290519
2,5,8,1,2,2,ACO,0.091420166,0.3600848
2,5,8,1,2,2,ACO_Local,0.091420166,0.493953
2,6,8,1,2,2,ACO,0.091420165,0.3670146
2,6,8,1,2,2,ACO_Local,0.091420165,0.5035944
2,7,8,1,2,2,ACO,0.091420166,0.3774523
2,7,8,1,2,2,ACO_Local,0.091420166,0.509134
2,8,8,1,2,2,ACO,0.091420166,0.3663013
2,8,8,1,2,2,ACO_Local,0.091420166,0.4784333
3,1,18,1,3,2,ACO,0.130668377,0.3923134
3,1,18,1,3,2,ACO_Local,0.130668377,0.5568331
3,2,18,1,3,2,ACO,0.130668378,0.3937964
3,2,18,1,3,2,ACO_Local,0.130668378,0.5324614
3,3,18,1,3,2,ACO,0.130668377,0.3955416
3,3,18,1,3,2,ACO_Local,0.130668377,0.5360305
3,4,18,1,3,2,ACO,0.130668378,0.3977016
